ep_rew,timestep
4.2,16
4.2161,180
4.2364297,344
4.258591817,508
4.254944205,672
4.380180488,836
4.419736337,999
4.460682401,1160
4.560486706,1330
4.667195512,1490
4.743850015,1650
4.768141465,1820
4.837874211,1980
4.850803104,2150
4.930134633,2310
5.046741536,2470
5.123866481,2800
5.334917552,2970
5.451414448,3130
5.507731916,3290
5.728354082,3460
6.010601938,3620
6.173658093,3780
6.395063957,3950
6.730977486,4110
6.783165004,4280
7.206752209,4440
7.277896908,4600
7.393405279,4770
7.766156958,4930
8.001535348,5100
8.091200035,5260
8.158102434,5420
8.306266078,5590
8.342921958,5750
8.509834753,5910
8.981108554,6080
9.126443057,6240
9.376534867,6410
9.595574565,6570
9.65777635,6730
9.849647494,6900
10.0187056,7060
10.41617537,7230
11.05520334,7390
11.53463366,7550
11.89493709,7720
12.47925354,7880
13.0248307,8040
13.4014596,8210
13.92122603,8370
14.18983783,8700
14.36717156,8860
14.44152661,9030
14.5601715,9190
14.63928756,9360
14.76258394,9520
15.09234451,9680
15.42602059,9850
15.62552211,10000
15.87563511,10200
15.9727955,10300
16.2011212,10500
16.56219541,10700
16.69186492,10800
16.88755203,11000
17.33633833,11200
17.38840255,11300
17.34266929,11500
17.6498879,11600
17.73154047,11800
17.97461504,12000
18.0878989,12100
18.17097722,12300
18.51664475,12500
18.80836192,12600
18.97836959,12800
19.19736709,13000
19.35612765,13100
19.37783671,13300
19.67504647,13500
19.7239204,13600
20.42487023,13800
20.47259822,13900
20.47322846,14100
20.8395442,14300
20.82713469,14400
20.89551059,14600
21.28661384,14800
21.59742173,14900
22.02298103,15100
22.53535246,15300
22.77833936,15400
23.00423755,15600
22.90294009,15700
23.16737247,15900
23.7477229,16100
24.22732527,16200
24.43829679,16400
24.37071596,16700
24.7646895,16900
25.23700164,17100
25.5880506,17200
25.84592544,17400
25.94836915,17500
26.33135666,17700
26.89413546,17900
27.05067034,18000
27.34850493,18200
27.41638931,18400
27.49651236,18500
27.59319257,18700
27.71984914,18900
27.65499261,19000
27.76642778,19200
27.84539994,19300
27.96855575,19500
27.89337896,19700
27.85903125,19800
27.79557353,20000
27.66457534,20200
27.52509011,20300
27.85801303,20500
27.98547873,20700
28.08931272,20800
28.00445853,21000
27.96525598,21200
28.2443551,21300
28.80223493,21500
28.98388353,21600
28.8853542,21800
28.92939106,22000
28.85511506,22100
28.66524742,22300
28.88454673,22500
29.05510215,22600
29.1895348,22800
29.2564755,23000
29.14707656,23100
29.1965938,23300
29.30707215,23400
29.18270949,23600
29.19690717,23800
29.3671783,23900
29.4254332,24100
29.58814824,24300
29.48492083,24400
29.95446765,24600
30.04751489,24800
30.40062205,24900
