ep_rew,timestep
3,16
3.0253,180
3.0339181,344
3.046937984,508
3.09185841,672
3.158745667,836
3.166594516,999
3.220262842,1160
3.302596797,1330
3.311737071,1490
3.417267118,1650
3.531869974,1820
3.685236965,1980
3.816676515,2150
3.871492955,2310
4.067648617,2470
4.282292699,2800
4.406899967,2970
4.588441267,3130
4.719807118,3290
4.894151555,3460
5.379586069,3620
5.469755589,3780
5.564751211,3950
5.738061933,4110
6.075286508,4280
6.386354919,4440
6.513168756,4600
6.779665874,4770
7.046933559,4930
7.232154087,5100
7.376314543,5260
7.721859309,5420
7.797256545,5590
8.144619644,5750
8.454093392,5910
8.733449244,6080
8.976479912,6240
9.188620874,6410
9.499382594,6570
9.678796794,6730
10.02198447,6900
10.14797882,7060
10.16527531,7230
10.44437398,7390
10.90565338,7550
11.19992335,7720
11.55412511,7880
11.55288024,8040
11.77476399,8210
11.92944442,8370
12.4807672,8700
12.55250955,8860
12.87330183,9030
13.08781589,9190
13.30429612,9360
13.52499731,9520
14.15922238,9680
14.52816026,9850
14.84031257,10000
15.26718539,10200
15.86134012,10300
15.9335293,10500
16.26855812,10700
16.33598129,10800
16.67785372,11000
16.97046308,11200
17.26554243,11300
17.75393496,11500
18.12299445,11600
18.32256558,11800
18.35654657,12000
18.256346,12100
18.44825004,12300
18.87264029,12500
19.14926956,12600
19.43563636,12800
19.80281673,13000
19.86945194,13100
19.80575455,13300
19.89302219,13500
20.00128268,13600
19.98515318,13800
19.89809466,13900
19.85443848,14100
20.0072864,14300
20.13591881,14400
20.27999268,14600
20.62545285,14800
20.89626743,14900
20.95615328,15100
21.26076175,15300
21.53996423,15400
21.50684506,15600
21.50898762,15700
21.8928809,15900
22.05634464,16100
22.52194872,16200
22.5122439,16400
22.81786229,16700
22.99225145,16900
22.95792967,17100
23.22339729,17200
23.35855915,17400
23.29971229,17500
23.68381891,17700
23.90039107,17900
24.04988208,18000
23.74513479,18200
23.59229669,18400
23.70057387,18500
23.65226067,18700
23.58665867,18900
23.50186552,19000
23.59152262,19200
23.6147176,19300
23.87427909,19500
23.78057067,19700
23.89141755,19800
24.03191494,20000
24.0472809,20200
24.02319344,20300
24.15835999,20500
24.35481771,20700
24.2224569,20800
23.99194039,21000
23.98062576,21200
24.10527137,21300
24.45935013,21500
24.91338508,21600
25.11317722,21800
25.42337414,22000
25.58843654,22100
26.0096025,22300
26.36588164,22500
26.74846636,22600
26.79105164,22800
26.88095745,23000
26.95039543,23100
27.02283633,23300
27.1166111,23400
27.08172904,23600
27.28684927,23800
27.24345174,23900
27.28615235,24100
27.12317085,24300
27.03063792,24400
26.89883325,24600
26.86206008,24800
26.7893327,24900
