Date,Category,Desc,Addr,Lat,Long,Tract
090702,DRUG ABUSE VIOLATION - POSSESSION OF MARIJUANA,POSSESS MARIJUANA/HASHISH FOR SALE,1200 CASTRO ST,37.805313,-122.277921,402600
090416,DRUG ABUSE VIOLATION - POSSESSION OF OTHER,POSSESS NARCOTIC CONTROLLED SUBSTANCE,889 W Grand Ave,37.814244,-122.278201,402700
090101,DRUG ABUSE VIOLATION - POSSESSION OF OTHER,POSSESS NARCOTIC CONTROLLED SUBSTANCE,2244 AUSEON AV,37.756567,-122.166573,409700
090101,DRUG ABUSE VIOLATION - POSSESSION OF OTHER,POSSESS NARCOTIC CONTROLLED SUBSTANCE,2244 AUSEON AV,37.756567,-122.166573,409700
090101,DRUG ABUSE VIOLATION - POSSESSION OF OTHER,POSSESS NARCOTIC CONTROLLED SUBSTANCE,2244 AUSEON AV,37.756567,-122.166573,409700
090101,DRUG ABUSE VIOLATION - POSSESSION OF OTHER,POSSESS NARCOTIC CONTROLLED SUBSTANCE,2244 AUSEON AV,37.756567,-122.166573,409700
090101,DRUG ABUSE VIOLATION - POSSESSION OF OTHER,POSSESS NARCOTIC CONTROLLED SUBSTANCE,2244 AUSEON AV,37.756567,-122.166573,409700
090101,DRUG ABUSE VIOLATION - POSSESSION OF OTHER,POSSESS NARCOTIC CONTROLLED SUBSTANCE,2244 AUSEON AV,37.756567,-122.166573,409700
090101,DRUG ABUSE VIOLATION - POSSESSION OF OTHER,POSSESS NARCOTIC CONTROLLED SUBSTANCE,1086 32ND ST,37.823688,-122.279692,401500
090101,DRIVING UNDER THE INFLUENCE,DUI:ALCOHOL/DRUGS,6800 International Blvd,37.760916,-122.190629,408800
090101,DRUG ABUSE VIOLATION - POSSESSION OF OTHER,POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA,W Macarthur Blvd & Telegraph Ave,37.826381,-122.26519,401100
090101,DRIVING UNDER THE INFLUENCE,DUI:ALCOHOL/DRUGS,6700 INTERNATIONAL BLVD,37.76152,-122.19182,408600
090101,DRIVING UNDER THE INFLUENCE,DUI:ALCOHOL/DRUGS,6700 INTERNATIONAL BLVD,37.76152,-122.19182,408600
090101,DRUG ABUSE VIOLATION - POSSESSION OF OTHER,POSSESS NARCOTIC CONTROLLED SUBSTANCE,3556 DIMOND AV,37.801684,-122.21649,404800
090101,DRIVING UNDER THE INFLUENCE,DUI ALCOHOL/DRUGS,MACARTHUR BLVD & 73RD AV,37.769111,-122.172008,408300
090101,DRUG ABUSE VIOLATION - POSSESSION OF MARIJUANA,POSSESS MARIJUANA/HASHISH FOR SALE,HARRINGTON AV&SANTA RITA ST,37.783235,-122.213859,407101
090101,DRUG ABUSE VIOLATION - POSSESSION OF MARIJUANA,POSSESS MARIJUANA/HASHISH FOR SALE,HARRINGTON AV&SANTA RITA ST,37.783235,-122.213859,407101
090101,DRUG ABUSE VIOLATION - POSSESSION OF OTHER,POSSESS NARCOTIC CONTROLLED SUBSTANCE,2900 Martin Luther King Jr Way,37.819129,-122.271019,401400
